StockCode,Description,SETS,Colors,Material,Design,Jewelry,Household,MISC,TotalSales,Quantity,UnitPrice,Price_Category,Sales_Frequency
21507,"ELEPHANT, BIRTHDAY CARD, ",0,0,0,1,0,0,0,1425.28,3332,0.53,cheap,reg_seller
21508,VINTAGE KID DOLLY CARD ,0,0,0,1,0,0,0,1046.98,2490,0.55,cheap,reg_seller
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,0,0,0,1,0,0,0,1572.28,3741,0.53,cheap,reg_seller
21518,BANK ACCOUNT  GREETING  CARD ,0,0,0,0,0,0,1,132.44,318,0.48,cheap,warm
21519,GIN & TONIC DIET GREETING CARD ,0,0,0,0,0,0,1,1389.22,3299,0.51,cheap,reg_seller
21520,BOOZE & WOMEN GREETING CARD ,0,0,0,0,0,0,1,214.19,504,0.51,cheap,warm
21523,DOORMAT FANCY FONT HOME SWEET HOME,0,0,0,0,0,1,0,21601.69,3246,9.51,medium,reg_seller
21524,DOORMAT SPOTTY HOME SWEET HOME,0,0,0,0,0,1,0,13612.41,1757,9.19,medium,reg_seller
21527,RED RETROSPOT TRADITIONAL TEAPOT ,0,1,0,1,0,1,0,3756.79,484,8.45,medium,warm
21528,DAIRY MAID TRADITIONAL TEAPOT ,0,0,0,1,0,1,0,1578.42,218,7.68,medium,warm
21530,DAIRY MAID TOASTRACK,0,0,0,0,0,0,1,769.57,777,1.61,cheap,warm
21531,RED RETROSPOT SUGAR JAM BOWL,0,1,0,1,0,1,0,3692.37,1522,2.89,cheap,reg_seller
21533,RETROSPOT LARGE MILK JUG,0,0,0,1,0,1,0,6701.22,1361,5.29,medium,reg_seller
21534,DAIRY MAID LARGE MILK JUG,0,0,0,0,0,1,0,1908.88,376,5.44,medium,warm
21535,RED RETROSPOT SMALL MILK JUG,0,1,0,1,0,1,0,6011.51,2497,2.76,cheap,reg_seller
21537,RED RETROSPOT PUDDING BOWL,0,1,0,1,0,1,0,1392.21,333,4.5,cheap,warm
21538,DAIRY MAID  PUDDING BOWL,0,0,0,0,0,0,1,18.75,5,3.75,cheap,cold
21539,RED RETROSPOT BUTTER DISH,0,1,0,1,0,1,0,4758.75,979,5.43,medium,warm
21544,SKULLS  WATER TRANSFER TATTOOS ,0,0,0,1,0,0,0,1690.23,1975,1.11,cheap,reg_seller
21547,CERAMIC BIRDHOUSE CRESTED TIT SMALL,0,0,0,1,0,0,0,253.53000000000003,79,3.71,cheap,cold
21555,CERAMIC STRAWBERRY TRINKET TRAY,0,0,0,1,0,0,0,350.47,369,2.55,cheap,warm
21556,CERAMIC STRAWBERRY MONEY BOX,1,0,0,1,0,0,0,2515.52,981,3.26,cheap,warm
21557,SET OF 6 FUNKY BEAKERS,1,0,0,0,0,0,0,1843.61,551,4.16,cheap,warm
21558,SKULL LUNCH BOX WITH CUTLERY ,1,0,0,1,0,1,0,5568.07,2138,3.36,cheap,reg_seller
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,0,0,1,0,1,0,9748.13,3940,3.11,cheap,reg_seller
21561,DINOSAUR LUNCH BOX WITH CUTLERY,1,0,0,0,0,1,0,3127.38,1282,3.02,cheap,reg_seller
21562,HAWAIIAN GRASS SKIRT ,0,0,0,0,0,0,1,380.36,324,1.44,cheap,warm
21563,RED HEART SHAPE LOVE BUCKET ,0,1,0,1,0,0,0,2803.13,1395,3.2,cheap,reg_seller
21564,PINK  HEART SHAPE LOVE BUCKET ,0,1,0,1,0,0,0,1831.62,1042,3.22,cheap,reg_seller
21576,LETS GO SHOPPING COTTON TOTE BAG,0,0,0,0,0,0,1,585.34,252,2.59,cheap,warm
21577,SAVE THE PLANET COTTON TOTE BAG,0,0,0,0,0,0,1,1664.9,720,2.72,cheap,warm
21578,WOODLAND DESIGN  COTTON TOTE BAG,0,0,1,1,0,0,0,1664.51,965,2.54,cheap,warm
21579,LOLITA  DESIGN  COTTON TOTE BAG,0,0,0,1,0,0,0,414.22,178,2.56,cheap,warm
21580,RABBIT  DESIGN  COTTON TOTE BAG,0,0,0,1,0,0,0,444.07,181,2.89,cheap,warm
21581,SKULLS  DESIGN  COTTON TOTE BAG,0,0,0,1,0,0,0,590.67,252,2.88,cheap,warm
21584,RETROSPOT SMALL TUBE MATCHES,0,0,0,1,0,1,0,1754.9,1066,1.65,cheap,reg_seller
21586,KINGS CHOICE GIANT TUBE MATCHES,0,0,0,0,0,0,1,1721.85,839,2.47,cheap,warm
21587,COSY HOUR GIANT TUBE MATCHES,0,0,0,0,0,0,1,480.75,245,2.45,cheap,warm
21588,RETROSPOT GIANT TUBE MATCHES,0,0,0,1,0,1,0,3450.15,1497,2.53,cheap,reg_seller
21591,COSY HOUR CIGAR BOX MATCHES ,1,0,0,0,0,0,0,2001.14,1378,1.26,cheap,reg_seller
21592,RETROSPOT CIGAR BOX MATCHES ,1,0,0,1,0,1,0,2164.46,2162,1.13,cheap,reg_seller
21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,1,0,0,0,0,0,0,2089.64,802,3.0,cheap,warm
21613,S/12 VANILLA  BOTANICAL T-LIGHTS,0,0,0,0,0,0,1,661.9300000000001,227,3.15,cheap,warm
21614,SET OF 12 ROSE BOTANICAL T-LIGHTS,1,0,0,0,0,0,0,153.29000000000002,102,2.67,cheap,warm
21615,4 LAVENDER BOTANICAL DINNER CANDLES,0,0,0,0,0,1,0,1349.17,892,2.02,cheap,warm
21616,4 PEAR BOTANICAL DINNER CANDLES,0,0,0,0,0,1,0,1288.34,822,1.96,cheap,warm
21617,4 LILY  BOTANICAL DINNER CANDLES,0,0,0,0,0,1,0,1013.01,528,2.42,cheap,warm
21618,4 WILDFLOWER BOTANICAL CANDLES,0,0,0,1,0,1,0,770.87,406,2.45,cheap,warm
21619,4 VANILLA BOTANICAL CANDLES,0,0,0,0,0,1,0,1481.4,978,1.97,cheap,warm
21620,SET OF 4 ROSE BOTANICAL CANDLES,1,0,0,0,0,1,0,1451.99,903,2.03,cheap,warm
21621,VINTAGE UNION JACK BUNTING,0,0,0,1,0,0,0,24542.83,2889,9.42,medium,reg_seller
21622,POSSIBLE DAMAGES OR LOST?,0,0,0,0,0,0,1,2012.34,386,5.82,medium,warm
21622,VINTAGE UNION JACK CUSHION COVER,0,0,0,1,0,1,0,2012.34,386,5.82,medium,warm
21623,VINTAGE UNION JACK MEMOBOARD,0,0,0,1,0,0,0,23010.09,3272,10.37,medium,reg_seller
21624,VINTAGE UNION JACK DOORSTOP,0,0,0,1,0,0,0,1337.51,217,6.64,medium,warm
21625,VINTAGE UNION JACK APRON,0,0,0,1,0,0,0,2967.31,411,8.04,medium,warm
21626,VINTAGE UNION JACK PENNANT,0,0,0,1,0,0,0,1586.75,795,2.27,cheap,warm
21627,ELEPHANT CARNIVAL POUFFE,0,0,0,0,0,0,1,1299.83,63,21.96,high,cold
21628,TRIANGULAR POUFFE VINTAGE ,0,0,0,1,0,0,0,1176.6,64,21.55,high,cold
21629,SQUARE FLOOR CUSHION VINTAGE RED,0,1,0,1,0,1,0,687.95,73,10.4,medium,cold
21630,FLOOR CUSHION ELEPHANT CARNIVAL,0,0,0,0,0,1,0,718.14,69,12.1,medium,cold
21631,HIPPY CHIC DECORATIVE PARASOL,0,0,0,0,0,0,1,896.01,169,8.34,medium,warm
21632,VINTAGE PINK DECORATIVE PARASOL,0,1,0,1,0,0,0,489.74,96,7.87,medium,cold
21633,SUNFLOWER DECORATIVE PARASOL,0,0,0,1,0,0,0,895.46,125,10.16,medium,warm
21634,ASSORTED MINI MADRAS NOTEBOOK,1,0,0,0,0,0,0,481.95,976,0.84,cheap,warm
21635,MADRAS NOTEBOOK LARGE ,0,0,0,0,0,0,1,374.96,272,2.13,cheap,warm
21636,MADRAS NOTEBOOK MEDIUM,0,0,0,0,0,0,1,709.66,919,0.85,cheap,warm
21637,ASSORTED SANSKRIT MINI NOTEBOOK,1,0,0,0,0,0,0,136.25,109,1.25,cheap,warm
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,1,0,0,0,0,0,0,551.96,249,2.56,cheap,warm
21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1,0,0,0,0,0,0,644.03,662,1.14,cheap,warm
21641,ASSORTED TUTTI FRUTTI KEYRING BALL,1,0,0,0,1,0,0,451.59,1153,1.1,cheap,reg_seller
21642,ASSORTED TUTTI FRUTTI PEN,1,0,0,0,0,0,0,831.0199999999999,2472,0.49,cheap,reg_seller
21643,ASSORTED TUTTI FRUTTI MIRROR,1,0,0,0,0,0,0,743.31,550,1.84,cheap,warm
21644,ASSORTED TUTTI FRUTTI HEART BOX,1,0,0,1,0,0,0,268.75,386,1.18,cheap,warm
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,1,0,0,0,0,0,0,247.8,118,2.1,cheap,warm
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,1,0,0,0,0,0,0,992.79,737,1.86,cheap,warm
21650,ASSORTED TUTTI FRUTTI BRACELET,1,0,0,0,1,0,0,692.85,2550,0.5,cheap,reg_seller
21651,HANGING GLASS ETCHED TEALIGHT,0,0,1,0,0,0,0,208.47,203,1.62,cheap,warm
21654,RIDGED GLASS FINGER BOWL,0,0,1,0,0,0,0,509.36,986,0.94,cheap,warm
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,0,0,1,0,0,0,0,60.84,55,1.13,cheap,cold
21656,RIDGED GLASS POSY VASE ,0,0,1,0,0,0,0,444.58,219,2.21,cheap,warm
21657,MILK BOTTLE WITH GLASS STOPPER ,0,0,1,0,0,1,0,223.46,30,7.83,medium,cold
21658,GLASS  BEURRE DISH,0,0,1,0,0,0,0,3721.63,884,5.58,medium,warm
21661,VINTAGE GLASS TEA CADDY,0,0,1,1,0,0,0,17.85,6,2.98,cheap,cold
21662,VINTAGE GLASS COFFEE CADDY,0,0,1,1,0,0,0,557.3000000000001,87,7.86,medium,cold
21664,RIDGED GLASS STORAGE JAR CREAM LID,0,0,1,0,0,1,0,353.97,119,3.55,cheap,warm
21666,RIDGED GLASS T-LIGHT HOLDER,0,0,1,0,0,0,0,283.51,412,0.86,cheap,warm
21667,GLASS CAKE COVER AND PLATE,0,0,1,0,0,1,0,29.9,5,4.98,cheap,cold
21668,RED STRIPE CERAMIC DRAWER KNOB,0,1,0,0,0,0,0,7527.66,5528,1.67,cheap,hot
21669,BLUE STRIPE CERAMIC DRAWER KNOB,0,1,0,0,0,0,0,7136.0,5285,1.59,cheap,hot
21670,BLUE SPOT CERAMIC DRAWER KNOB,0,1,0,0,0,1,0,6141.29,4372,1.7,cheap,reg_seller
21671,RED SPOT CERAMIC DRAWER KNOB,0,1,0,0,0,1,0,6078.54,4421,1.72,cheap,reg_seller
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,0,1,0,0,0,1,0,6815.9,5022,1.69,cheap,hot
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0,1,0,0,0,1,0,6071.75,4422,1.67,cheap,reg_seller
21675,BUTTERFLIES STICKERS,0,0,0,1,0,0,0,573.36,634,1.14,cheap,warm
21676,FLOWERS  STICKERS,0,0,0,1,0,0,0,245.36,257,1.16,cheap,warm
21677,HEARTS  STICKERS,0,0,0,1,0,0,0,737.8399999999999,835,1.03,cheap,warm
21678,PAISLEY PATTERN  STICKERS,0,0,0,0,0,0,1,111.86,125,1.01,cheap,warm
21679,SKULLS  STICKERS,0,0,0,1,0,0,0,1028.58,1140,1.13,cheap,reg_seller
21680,WOODLAND  STICKERS,0,0,1,0,0,0,0,786.31,868,1.21,cheap,warm
21681,GIANT MEDINA STAMPED METAL BOWL ,0,0,1,0,0,0,0,19.9,2,9.95,medium,cold
21682,LARGE MEDINA STAMPED METAL BOWL ,0,0,1,0,0,0,0,930.96,326,5.4,medium,warm
21683,MEDIUM MEDINA STAMPED METAL BOWL ,0,0,1,0,0,0,0,948.7000000000002,310,3.39,cheap,warm
21684,SMALL MEDINA STAMPED METAL BOWL ,0,0,1,0,0,0,0,622.3,783,1.25,cheap,warm
21686,MEDINA STAMPED METAL STOOL,0,0,1,0,0,0,0,1351.64,37,37.97,high,cold
21688,SILVER PLATE CANDLE BOWL SMALL,0,0,0,0,0,1,0,1101.2800000000002,348,3.8,cheap,warm
21689,SILVER VANILLA  FLOWER CANDLE POT,0,0,0,1,0,1,0,369.87,95,4.27,cheap,cold
21690,SILVER  CANDLEPOT JARDIN ,0,0,0,0,0,1,0,90.0,62,3.07,cheap,cold
21692,SILVER LATTICE VANILLA CANDLE POT,0,0,0,0,0,1,0,63.75,17,3.75,cheap,cold
21693,SMALL HAMMERED SILVER CANDLEPOT ,0,1,0,0,0,1,0,1143.3100000000002,373,3.33,cheap,warm
21694,SMALL REGAL  SILVER CANDLEPOT ,0,0,0,0,0,1,0,840.33,307,3.4,cheap,warm
21695,SMALL SILVER FLOWER CANDLE POT,0,0,0,1,0,1,0,875.3800000000001,290,3.36,cheap,warm
21696,SMALL SILVER TRELLIS CANDLEPOT,0,0,0,0,0,1,0,690.1000000000001,230,3.29,cheap,warm
21698,MOCK LOBSTER FRIDGE MAGNET,0,0,0,0,0,0,1,164.17,296,1.06,cheap,warm
21700,BIG DOUGHNUT FRIDGE MAGNETS,0,0,0,0,0,0,1,2334.94,1752,3.94,cheap,reg_seller
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,0,1,0,1,0,1,0,1621.76,347,5.0,medium,warm
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,0,1,0,1,0,1,0,763.6600000000001,160,4.88,cheap,warm
21708,FOLDING UMBRELLA CREAM POLKADOT,0,0,0,1,0,1,0,868.0600000000001,191,4.33,cheap,warm
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,0,0,0,1,0,1,0,607.23,133,4.67,cheap,warm
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,0,1,0,1,0,1,0,501.98,107,4.82,cheap,warm
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,0,1,0,1,0,1,0,513.02,104,5.25,medium,warm
21713,CITRONELLA CANDLE FLOWERPOT,0,0,0,1,0,1,0,1836.64,795,2.5,cheap,warm
21714,CITRONELLA CANDLE GARDEN POT,0,0,0,0,0,1,0,3018.15,1657,1.89,cheap,reg_seller
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,0,0,0,1,0,0,0,3507.17,1330,3.26,cheap,reg_seller
21716,BOYS VINTAGE TIN SEASIDE BUCKET,0,0,0,1,0,0,0,3913.72,1441,3.38,cheap,reg_seller
21717,EASTER TIN BUCKET,0,0,0,0,0,0,1,946.93,413,2.62,cheap,warm
21718,RED METAL BEACH SPADE ,0,1,1,0,0,0,0,2114.64,1494,1.71,cheap,reg_seller
21719,LOVELY BONBON STICKER SHEET,0,0,0,0,0,0,1,307.44,345,1.06,cheap,warm
21720,CAKE SHOP  STICKER SHEET,0,0,0,0,0,0,1,48.45,57,0.85,cheap,cold
21721,CANDY SHOP  STICKER SHEET,0,0,0,0,0,0,1,179.45999999999998,195,1.1,cheap,warm
21722,SWEET PUDDING STICKER SHEET,0,0,0,0,0,0,1,95.53,98,1.13,cheap,cold
21723,ALPHABET HEARTS STICKER SHEET,0,0,0,1,0,0,0,353.48,401,1.02,cheap,warm
21724,PANDA AND BUNNIES STICKER SHEET,0,0,0,1,0,0,0,355.83,408,0.97,cheap,warm
21725,SWEETIES  STICKERS,0,0,0,0,0,0,1,277.24,301,1.13,cheap,warm
21726,MULTI HEARTS  STICKERS,0,0,0,1,0,0,0,204.69,237,0.93,cheap,warm
21730,GLASS STAR FROSTED T-LIGHT HOLDER,0,0,1,1,0,0,0,2519.38,518,5.35,medium,warm
21731,RED TOADSTOOL LED NIGHT LIGHT,0,1,0,0,0,0,0,23932.98,14009,2.38,cheap,best_seller
21733,RED HANGING HEART T-LIGHT HOLDER,0,1,0,1,0,0,0,23228.74,7882,3.16,cheap,hot
21735,TWO DOOR CURIO CABINET,0,0,0,0,0,1,0,2577.45,212,12.54,medium,warm
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,0,0,1,0,0,0,0,137.22000000000003,119,1.36,cheap,warm
21738,COSY SLIPPER SHOES SMALL  RED ,0,1,0,0,0,0,0,150.48000000000002,50,3.18,cheap,cold
21739,COSY SLIPPER SHOES SMALL GREEN,0,1,0,0,0,0,0,708.98,256,2.77,cheap,warm
21741,COSY SLIPPER SHOES LARGE GREEN,0,1,0,0,0,0,0,480.1700000000001,147,3.82,cheap,warm
21742,LARGE ROUND WICKER PLATTER ,0,0,0,0,0,0,1,1173.53,195,6.09,medium,warm
21743,STAR PORTABLE TABLE LIGHT ,0,0,0,1,0,1,0,890.6,300,3.86,cheap,warm
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,0,0,0,0,0,1,0,1563.5500000000002,531,3.04,cheap,warm
21745,GAOLERS KEYS DECORATIVE GARDEN ,0,0,0,0,0,1,0,3486.98,938,3.97,cheap,warm
21746,SMALL RED RETROSPOT WINDMILL,0,1,0,1,0,1,0,3766.93,3075,1.47,cheap,reg_seller
21747,SMALL SKULL WINDMILL,0,0,0,1,0,0,0,645.61,485,1.51,cheap,warm
21749,LARGE RED RETROSPOT WINDMILL,0,1,0,1,0,1,0,3877.09,1963,2.53,cheap,reg_seller
21750,LARGE SKULL WINDMILL,0,0,0,1,0,0,0,209.61,91,2.67,cheap,cold
21754,HOME BUILDING BLOCK WORD,0,0,0,0,0,1,0,17049.920000000002,2780,6.62,medium,reg_seller
21755,LOVE BUILDING BLOCK WORD,0,0,0,0,0,0,1,12572.71,2034,6.67,medium,reg_seller
21756,BATH BUILDING BLOCK WORD,0,0,0,0,0,1,0,5089.56,823,6.59,medium,warm
21757,LIGHTHOUSE PRINTED METAL SIGN,0,0,1,0,0,0,0,29.700000000000003,6,4.95,cheap,cold
21758,VINTAGE SHELLS PRINT,0,0,0,1,0,0,0,427.46,50,9.84,medium,cold
21761,WOOD AND GLASS MEDICINE CABINET,0,0,1,0,0,1,0,299.5,10,29.95,high,cold
21763,VINTAGE WOODEN BAR STOOL,0,0,1,1,0,0,0,169.75,7,21.97,high,cold
21769,VINTAGE POST OFFICE CABINET,0,0,0,1,0,1,0,607.6500000000001,11,66.36,high,cold
21770,OPEN CLOSED METAL SIGN,0,0,1,0,0,0,0,7938.780000000001,1641,5.52,medium,reg_seller
21773,DECORATIVE ROSE BATHROOM BOTTLE,0,0,0,0,0,1,0,1154.17,1170,1.77,cheap,reg_seller
21774,DECORATIVE CATS BATHROOM BOTTLE,0,0,0,1,0,1,0,1152.4,1095,1.92,cheap,reg_seller
21775,DECORATIVE FLORE BATHROOM BOTTLE,0,0,0,0,0,1,0,716.86,515,1.88,cheap,warm
21777,RECIPE BOX WITH METAL HEART,1,0,1,1,0,0,0,95.4,17,6.81,medium,cold
21781,MA CAMPAGNE CUTLERY BOX,1,0,0,0,0,1,0,2676.75,169,16.8,medium,warm
21784,SHOE SHINE BOX ,1,0,0,0,0,0,0,633.0699999999999,65,10.72,medium,cold
21785,RAIN PONCHO ,0,0,0,0,0,0,1,269.61,412,0.95,cheap,warm
21786,POLKADOT RAIN HAT ,0,0,0,1,0,0,0,918.25,2084,0.66,cheap,reg_seller
21787,RAIN PONCHO RETROSPOT,0,0,0,1,0,1,0,7163.65,8878,1.05,cheap,hot
21788,KIDS RAIN MAC BLUE,0,1,0,0,0,0,0,1032.64,1297,0.91,cheap,reg_seller
21789,KIDS RAIN MAC PINK,0,1,0,0,0,0,0,806.1999999999999,928,0.94,cheap,warm
21790,VINTAGE SNAP CARDS,0,0,0,1,0,0,0,12515.96,14528,1.01,cheap,best_seller
21791,VINTAGE HEADS AND TAILS CARD GAME ,0,0,0,1,0,0,0,10535.65,7890,1.5,cheap,hot
21792,CLASSIC FRENCH STYLE BASKET GREEN ,0,1,0,1,0,0,0,1497.72,344,5.04,medium,warm
21793,CLASSIC FRENCH STYLE BASKET BROWN,0,0,0,1,0,0,0,1296.61,304,4.58,cheap,warm
21794,CLASSIC FRENCH STYLE BASKET NATURAL,0,0,0,1,0,0,0,2213.42,532,4.88,cheap,warm
21801,CHRISTMAS TREE DECORATION WITH BELL,0,0,0,1,0,0,0,530.26,1256,0.42,cheap,reg_seller
21802,CHRISTMAS TREE HEART DECORATION,0,0,0,1,0,0,0,920.4,2125,0.45,cheap,reg_seller
21803,CHRISTMAS TREE STAR DECORATION,0,0,0,1,0,0,0,1031.56,2410,0.45,cheap,reg_seller
21804,WHITE CHRISTMAS GARLAND STARS TREES,0,1,0,1,0,0,0,830.03,319,3.55,cheap,warm
21807,WHITE CHRISTMAS STAR DECORATION,0,1,0,1,0,0,0,189.42,439,0.47,cheap,warm
21808,"CHRISTMAS GARLAND STARS,TREES",0,0,0,1,0,0,0,641.58,186,3.47,cheap,warm
21809,CHRISTMAS HANGING TREE WITH BELL,0,0,0,1,0,0,0,1119.56,2038,0.93,cheap,reg_seller
21810,CHRISTMAS HANGING STAR WITH BELL,0,0,0,1,0,0,0,3022.79,5945,0.74,cheap,hot
21811,CHRISTMAS HANGING HEART WITH BELL,0,0,0,1,0,0,0,2687.4,4881,0.99,cheap,reg_seller
21811,HANGING HEART WITH BELL,0,0,0,1,0,0,0,2687.4,4881,0.99,cheap,reg_seller
21812,GARLAND WITH HEARTS AND BELLS,0,0,0,1,0,0,0,1751.22,394,5.18,medium,warm
21813,GARLAND WITH STARS AND BELLS,0,0,0,1,0,0,0,2280.4700000000003,549,4.66,cheap,warm
21814,HEART T-LIGHT HOLDER ,0,0,0,1,0,0,0,117.57,78,1.7,cheap,cold
21815,STAR  T-LIGHT HOLDER ,0,0,0,1,0,0,0,271.68,159,1.99,cheap,warm
21816,CHRISTMAS TREE T-LIGHT HOLDER,0,0,0,1,0,0,0,49.3,34,1.45,cheap,cold
21817,GLITTER CHRISTMAS TREE,0,0,0,1,0,0,0,414.63,912,0.56,cheap,warm
21818,GLITTER CHRISTMAS HEART ,0,0,0,1,0,0,0,1322.5,2740,0.6,cheap,reg_seller
21818,GLITTER HEART DECORATION,0,0,0,1,0,0,0,1322.5,2740,0.6,cheap,reg_seller
21819,GLITTER CHRISTMAS STAR ,0,0,0,1,0,0,0,1067.82,2473,0.54,cheap,reg_seller
21820,GLITTER HEART GARLAND WITH BELLS ,0,0,0,1,0,0,0,1379.72,332,5.0,medium,warm
21821,GLITTER STAR GARLAND WITH BELLS ,0,0,0,1,0,0,0,1037.05,251,5.07,medium,warm
21822,GLITTER CHRISTMAS TREE WITH BELLS,0,0,0,1,0,0,0,759.44,740,1.31,cheap,warm
21823,PAINTED METAL HEART WITH HOLLY BELL,0,0,1,1,0,0,0,854.74,1383,0.93,cheap,reg_seller
21824,PAINTED METAL STAR WITH HOLLY BELLS,0,0,1,1,0,0,0,1102.81,1917,0.77,cheap,reg_seller
21826,EIGHT PIECE DINOSAUR SET,1,0,0,0,0,0,0,186.43,128,1.64,cheap,warm
21827,EIGHT PIECE CREEPY CRAWLIE SET,1,0,0,0,0,0,0,7.5,6,1.25,cheap,cold
21828,EIGHT PIECE SNAKE  SET,1,0,0,0,0,0,0,439.54,333,1.47,cheap,warm
21829,DINOSAUR KEYRINGS ASSORTED,1,0,0,0,1,0,0,1483.4199999999998,6885,0.26,cheap,hot
21830,ASSORTED CREEPY CRAWLIES,1,0,0,0,0,0,0,1127.23,3101,0.46,cheap,reg_seller
21830,"MERCHANT CHANDLER CREDIT ERROR, STO",0,1,0,0,0,0,0,1127.23,3101,0.46,cheap,reg_seller
21832,CHOCOLATE CALCULATOR,0,0,0,0,0,0,1,1799.9999999999998,960,2.33,cheap,warm
21833,CAMOUFLAGE LED TORCH,0,0,0,1,0,0,0,4594.43,2726,2.11,cheap,reg_seller
21836,GINGHAM OVEN GLOVE RED HEART ,0,1,0,1,0,0,0,26.49,5,5.04,medium,cold
21839,MUMMY MOUSE RED GINGHAM RIBBON,0,1,0,0,0,0,0,5.45,1,5.45,medium,cold
21841,BABY MOUSE RED GINGHAM DRESS,0,1,0,0,0,0,0,314.5,155,3.91,cheap,warm
21843,RED RETROSPOT CAKE STAND,0,1,0,1,0,1,0,21365.25,2013,12.6,medium,reg_seller
21844,RED RETROSPOT MUG,0,1,0,1,0,1,0,5170.64,1848,3.31,cheap,reg_seller
21845,DAIRY MAID STRIPE MUG,0,0,0,0,0,1,0,1721.09,1907,1.1,cheap,reg_seller
21846,PINK DIAMANTE PEN IN GIFT BOX,1,1,0,0,0,1,0,1206.97,424,4.09,cheap,warm
21847,GREEN  DIAMANTE PEN IN GIFT BOX,1,1,0,0,0,1,0,178.89,76,2.75,cheap,cold
21849,SILVER DIAMANTE PEN IN GIFT BOX,1,0,0,0,0,1,0,558.83,175,3.82,cheap,warm
21850,BLUE  DIAMANTE PEN IN GIFT BOX,1,1,0,0,0,1,0,493.08,130,4.31,cheap,warm
21851,LILAC DIAMANTE PEN IN GIFT BOX,1,0,0,0,0,1,0,454.99,141,4.15,cheap,warm
21864,UNION JACK FLAG PASSPORT COVER ,0,0,0,1,0,0,0,2043.79,829,2.86,cheap,warm
21865,PINK UNION JACK  PASSPORT COVER ,0,1,0,0,0,0,0,625.23,274,2.56,cheap,warm
21866,UNION JACK FLAG LUGGAGE TAG,0,0,0,1,0,1,0,1296.13,750,1.95,cheap,warm
21867,PINK UNION JACK  LUGGAGE TAG,0,1,0,0,0,1,0,486.5,353,1.56,cheap,warm
21868,POTTING SHED TEA MUG,0,0,0,0,0,1,0,3262.25,2639,1.73,cheap,reg_seller
21870,I CAN ONLY PLEASE ONE PERSON MUG,0,0,0,0,0,1,0,1861.46,1415,1.57,cheap,reg_seller
21871,SAVE THE PLANET MUG,0,0,0,0,0,1,0,6681.21,5454,1.81,cheap,hot
21872,GLAMOROUS  MUG,0,0,0,0,0,1,0,1459.98,1296,1.66,cheap,reg_seller
21873,IF YOU CAN'T STAND THE HEAT MUG,0,0,0,0,0,1,0,1838.05,1621,1.6,cheap,reg_seller
21874,GIN AND TONIC MUG,0,0,0,0,0,1,0,4149.929999999999,2981,2.01,cheap,reg_seller
21875,KINGS CHOICE MUG,0,0,0,0,0,1,0,2429.38,2055,1.83,cheap,reg_seller
21876,POTTERING MUG,0,0,0,0,1,1,0,4834.51,3796,2.09,cheap,reg_seller
21877,HOME SWEET HOME MUG,0,0,0,0,0,1,0,6942.33,5418,1.72,cheap,hot
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,1,0,0,1,0,0,0,2173.05,2524,1.09,cheap,reg_seller
21879,HEARTS GIFT TAPE,0,0,0,1,0,1,0,386.77,1178,0.59,cheap,reg_seller
21880,RED RETROSPOT TAPE,0,1,0,1,0,1,0,858.7800000000001,1903,0.48,cheap,reg_seller
21881,CUTE CATS TAPE,0,0,0,1,0,0,0,383.11,1102,0.68,cheap,reg_seller
21882,SKULLS TAPE,0,0,0,1,0,0,0,252.47000000000003,706,0.64,cheap,warm
21883,STARS GIFT TAPE ,0,0,0,1,0,1,0,725.4200000000001,1653,0.64,cheap,reg_seller
21884,CAKES AND BOWS GIFT  TAPE,0,0,0,0,0,1,0,413.76,1166,0.76,cheap,reg_seller
21888,BINGO SET,1,0,0,0,0,0,0,6667.04,1694,4.68,cheap,reg_seller
21889,WOODEN BOX OF DOMINOES,1,0,1,0,0,0,0,8862.29,6403,1.57,cheap,hot
21890,S/6 WOODEN SKITTLES IN COTTON BAG,0,0,1,0,0,0,0,3689.46,1152,3.85,cheap,reg_seller
21891,TRADITIONAL WOODEN SKIPPING ROPE,0,0,1,1,0,0,0,10526.0,8146,1.58,cheap,hot
21892,TRADITIONAL WOODEN CATCH CUP GAME ,0,0,1,1,0,1,0,4322.16,3196,1.6,cheap,reg_seller
21894,POTTING SHED SEED ENVELOPES,0,0,0,0,0,1,0,908.33,597,1.82,cheap,warm
